"index";"name";"rating";"genre";"year";"released";"score";"votes";"director";"writer";"star";"country";"budget";"gross";"company";"runtime"
0;"The Shining";"R";"Drama";1980;"June 13, 1980 (United States)";8.4;927000.0;"Stanley Kubrick";"Stephen King";"Jack Nicholson";"United Kingdom";19000000.0;46998772.0;"Warner Bros.";146.0
1;"The Blue Lagoon";"R";"Adventure";1980;"July 2, 1980 (United States)";5.8;65000.0;"Randal Kleiser";"Henry De Vere Stacpoole";"Brooke Shields";"United States";4500000.0;58853106.0;"Columbia Pictures";104.0
2;"Star Wars: Episode V - The Empire Strikes Back";"PG";"Action";1980;"June 20, 1980 (United States)";8.7;1200000.0;"Irvin Kershner";"Leigh Brackett";"Mark Hamill";"United States";18000000.0;538375067.0;"Lucasfilm";124.0
3;"Airplane!";"PG";"Comedy";1980;"July 2, 1980 (United States)";7.7;221000.0;"Jim Abrahams";"Jim Abrahams";"Robert Hays";"United States";3500000.0;83453539.0;"Paramount Pictures";88.0
4;"Caddyshack";"R";"Comedy";1980;"July 25, 1980 (United States)";7.3;108000.0;"Harold Ramis";"Brian Doyle-Murray";"Chevy Chase";"United States";6000000.0;39846344.0;"Orion Pictures";98.0
5;"Friday the 13th";"R";"Horror";1980;"May 9, 1980 (United States)";6.4;123000.0;"Sean S. Cunningham";"Victor Miller";"Betsy Palmer";"United States";550000.0;39754601.0;"Paramount Pictures";95.0
6;"The Blues Brothers";"R";"Action";1980;"June 20, 1980 (United States)";7.9;188000.0;"John Landis";"Dan Aykroyd";"John Belushi";"United States";27000000.0;115229890.0;"Universal Pictures";133.0
7;"Raging Bull";"R";"Biography";1980;"December 19, 1980 (United States)";8.2;330000.0;"Martin Scorsese";"Jake LaMotta";"Robert De Niro";"United States";18000000.0;23402427.0;"Chartoff-Winkler Productions";129.0
8;"Superman II";"PG";"Action";1980;"June 19, 1981 (United States)";6.8;101000.0;"Richard Lester";"Jerry Siegel";"Gene Hackman";"United States";54000000.0;108185706.0;"Dovemead Films";127.0
9;"The Long Riders";"R";"Biography";1980;"May 16, 1980 (United States)";7.0;10000.0;"Walter Hill";"Bill Bryden";"David Carradine";"United States";10000000.0;15795189.0;"United Artists";100.0
10;"Any Which Way You Can";"PG";"Action";1980;"December 17, 1980 (United States)";6.1;18000.0;"Buddy Van Horn";"Stanford Sherman";"Clint Eastwood";"United States";15000000.0;70687344.0;"The Malpaso Company";116.0
11;"The Gods Must Be Crazy";"PG";"Adventure";1980;"October 26, 1984 (United States)";7.3;54000.0;"Jamie Uys";"Jamie Uys";"N!xau";"South Africa";5000000.0;30031783.0;"C.A.T. Films";109.0
12;"Popeye";"PG";"Adventure";1980;"December 12, 1980 (United States)";5.3;30000.0;"Robert Altman";"Jules Feiffer";"Robin Williams";"United States";20000000.0;49823037.0;"Paramount Pictures";114.0
13;"Ordinary People";"R";"Drama";1980;"September 19, 1980 (United States)";7.7;49000.0;"Robert Redford";"Judith Guest";"Donald Sutherland";"United States";6000000.0;54766923.0;"Paramount Pictures";124.0
14;"Dressed to Kill";"R";"Crime";1980;"July 25, 1980 (United States)";7.1;37000.0;"Brian De Palma";"Brian De Palma";"Michael Caine";"United States";6500000.0;31899000.0;"Filmways Pictures";104.0
15;"Somewhere in Time";"PG";"Drama";1980;"October 3, 1980 (United States)";7.2;27000.0;"Jeannot Szwarc";"Richard Matheson";"Christopher Reeve";"United States";5100000.0;9709597.0;"Rastar Pictures";103.0
16;"Fame";"R";"Drama";1980;"May 16, 1980 (United States)";6.6;21000.0;"Alan Parker";"Christopher Gore";"Eddie Barth";"United States";0.0;21202829.0;"Metro-Goldwyn-Mayer (MGM)";134.0
17;"9 to 5";"PG";"Comedy";1980;"December 19, 1980 (United States)";6.9;29000.0;"Colin Higgins";"Patricia Resnick";"Jane Fonda";"United States";10000000.0;103300686.0;"IPC Films";109.0
18;"The Fog";"R";"Horror";1980;"February 8, 1980 (United States)";6.8;66000.0;"John Carpenter";"John Carpenter";"Adrienne Barbeau";"United States";1000000.0;21448782.0;"AVCO Embassy Pictures";89.0
19;"Stir Crazy";"R";"Comedy";1980;"December 12, 1980 (United States)";6.8;26000.0;"Sidney Poitier";"Bruce Jay Friedman";"Gene Wilder";"United States";0.0;101300000.0;"Columbia Pictures";111.0
20;"Cruising";"R";"Crime";1980;"February 15, 1980 (United States)";6.5;20000.0;"William Friedkin";"William Friedkin";"Al Pacino";"West Germany";11000000.0;19814523.0;"Lorimar Film Entertainment";102.0
21;"Heaven's Gate";"R";"Adventure";1980;"April 24, 1981 (United States)";6.8;14000.0;"Michael Cimino";"Michael Cimino";"Kris Kristofferson";"United States";44000000.0;3484523.0;"Partisan Productions";219.0
22;"The Final Countdown";"PG";"Action";1980;"August 1, 1980 (United States)";6.7;22000.0;"Don Taylor";"Thomas Hunter";"Kirk Douglas";"United States";12000000.0;16647800.0;"Bryna Productions";103.0
23;"Xanadu";"PG";"Fantasy";1980;"August 8, 1980 (United States)";5.3;12000.0;"Robert Greenwald";"Richard Christian Danus";"Olivia Newton-John";"United States";20000000.0;22762571.0;"Universal Pictures";96.0
24;"Urban Cowboy";"PG";"Drama";1980;"June 6, 1980 (United States)";6.4;14000.0;"James Bridges";"Aaron Latham";"John Travolta";"United States";0.0;46918287.0;"Paramount Pictures";132.0
25;"Altered States";"R";"Horror";1980;"December 25, 1980 (United States)";6.9;33000.0;"Ken Russell";"Paddy Chayefsky";"William Hurt";"United States";0.0;19853892.0;"Warner Bros.";102.0
26;"Little Darlings";"R";"Comedy";1980;"March 21, 1980 (United States)";6.5;5100.0;"Ron Maxwell";"Kimi Peck";"Tatum O'Neal";"United States";0.0;34326249.0;"Stephen Friedman/Kings Road Productions";96.0
27;"Raise the Titanic";"PG";"Action";1980;"August 1, 1980 (United States)";5.0;4100.0;"Jerry Jameson";"Adam Kennedy";"Jason Robards";"United Kingdom";36000000.0;0.0;"ITC Films";115.0
28;"Brubaker";"R";"Crime";1980;"June 20, 1980 (United States)";7.2;17000.0;"Stuart Rosenberg";"W.D. Richter";"Robert Redford";"United States";9000000.0;37121708.0;"Twentieth Century Fox";131.0
29;"American Gigolo";"R";"Crime";1980;"February 1, 1980 (United States)";6.2;22000.0;"Paul Schrader";"Paul Schrader";"Richard Gere";"United States";4800000.0;22743674.0;"Paramount Pictures";117.0
30;"My Bodyguard";"PG";"Comedy";1980;"September 26, 1980 (United States)";7.1;8900.0;"Tony Bill";"Alan Ormsby";"Chris Makepeace";"United States";0.0;22482952.0;"Twentieth Century Fox";102.0
31;"Prom Night";"R";"Horror";1980;"July 18, 1980 (United States)";5.4;16000.0;"Paul Lynch";"William Gray";"Leslie Nielsen";"Canada";0.0;14796236.0;"Guardian Trust Company";92.0
32;"Smokey and the Bandit II";"PG";"Action";1980;"August 15, 1980 (United States)";5.3;15000.0;"Hal Needham";"Hal Needham";"Burt Reynolds";"United States";0.0;66132626.0;"Universal Pictures";100.0
33;"Cattle Annie and Little Britches";"PG";"Drama";1980;"April 24, 1981 (United States)";6.1;604.0;"Lamont Johnson";"David Eyre";"Scott Glenn";"United States";5100000.0;534816.0;"Cattle Annie Productions";97.0
34;"Seems Like Old Times";"PG";"Comedy";1980;"December 19, 1980 (United States)";6.7;9100.0;"Jay Sandrich";"Neil Simon";"Goldie Hawn";"United States";0.0;43995918.0;"Rastar Films";102.0
35;"Private Benjamin";"R";"Comedy";1980;"October 10, 1980 (United States)";6.2;24000.0;"Howard Zieff";"Nancy Meyers";"Goldie Hawn";"United States";10000000.0;69847348.0;"Warner Bros.";109.0
36;"The Hollywood Knights";"R";"Comedy";1980;"May 30, 1980 (United States)";6.3;4300.0;"Floyd Mutrux";"Floyd Mutrux";"Tony Danza";"United States";4000000.0;10000000.0;"PolyGram Filmed Entertainment";91.0
37;"Motel Hell";"R";"Comedy";1980;"October 24, 1980 (United States)";6.0;11000.0;"Kevin Connor";"Robert Jaffe";"Rory Calhoun";"United States";3000000.0;6342668.0;"Camp Hill";101.0
38;"The Jazz Singer";"PG";"Drama";1980;"December 19, 1980 (United States)";5.9;4000.0;"Richard Fleischer";"Samson Raphaelson";"Laurence Olivier";"United States";0.0;27118000.0;"EMI Films";115.0
39;"Coal Miner's Daughter";"PG";"Biography";1980;"March 7, 1980 (United States)";7.5;17000.0;"Michael Apted";"Thomas Rickman";"Sissy Spacek";"United States";0.0;67182787.0;"Universal Pictures";124.0
40;"The Watcher in the Woods";"PG";"Family";1980;"October 9, 1981 (United States)";6.3;5700.0;"John Hough";"Brian Clemens";"Bette Davis";"United States";0.0;5000000.0;"Walt Disney Productions";84.0
41;"Breaker Morant";"PG";"Drama";1980;"July 3, 1980 (Australia)";7.9;13000.0;"Bruce Beresford";"Jonathan Hardy";"Edward Woodward";"Australia";0.0;0.0;"The South Australian Film Corporation";107.0
